engine_load_pct,rpm,oil_pressure_psi,coolant_temp_c,fuel_pressure_kpa,brake_line_pressure_bar,aps_pressure_bar,mileage_km,aps_failure
85.14,1616,32.84,84.9,369.1,7.16,14.64,260809,0
19.43,1834,40.24,83.7,316.3,10.12,15.23,709333,0
77.02,1144,36.42,108.9,286.4,6.98,12.97,772270,0
42.45,2403,35.16,81.1,339.7,6.5,12.42,543446,0
42.34,1135,34.57,94.2,421.1,8.81,10.51,558950,0
64.83,1370,37.83,71.6,329.8,9.22,11.45,542108,0
45.44,1417,39.63,90.8,310.1,9.9,15.76,722935,0
46.82,1909,44.33,91.4,319.2,8.5,12.16,732574,0
55.89,1318,65.75,85.1,246.2,9.45,14.47,746283,0
73.91,1510,42.31,68.6,368.6,7.45,13.03,532189,0
96.45,2041,21.45,79.4,301.5,9.02,13.12,777696,0
51.1,1311,47.83,88.2,322.8,11.75,14.01,95645,0
48.49,1504,61.54,80.2,491.8,7.81,11.11,606278,0
20.21,1805,57.78,102.7,387.3,7.71,12.77,338569,0
29.61,1458,38.32,107.7,419.3,8.88,11.76,493031,0
96.17,2117,43.91,50.2,346.6,5.8,14.46,156363,0
94.9,1848,44.26,95.2,378.2,6.63,12.61,730152,0
89.36,1759,42.83,73.6,310.7,7.44,10.19,702751,1
68.18,1363,48.86,89.4,358.5,9.55,13.43,280317,0
29.24,1581,30.63,90.4,375.6,5.44,10.87,287128,0
67.31,1812,55.96,99.8,295.7,7.62,14.17,61661,0
22.52,2017,35.13,80.4,344.9,6.25,12.06,719860,0
51.28,1781,53.23,90.6,434.5,8.64,7.95,364285,1
88.65,1794,48.94,91.2,347.0,9.62,14.42,606824,0
33.26,1968,60.54,96.4,413.8,8.35,9.6,144365,0
69.84,2351,54.33,77.7,293.6,7.46,14.31,235876,0
87.64,1725,46.85,74.8,420.9,5.31,11.47,525241,0
23.4,1238,57.71,105.4,375.0,9.71,10.9,447473,0
60.67,1783,42.28,85.4,400.0,8.79,15.78,254446,0
24.32,1572,44.63,109.0,438.4,5.55,9.18,458530,0
25.56,2245,45.99,82.8,384.0,9.81,13.01,616305,0
19.36,1995,48.9,99.4,357.3,5.6,12.31,488303,0
28.26,1483,47.82,90.7,317.0,9.35,12.76,154883,0
50.97,1775,39.88,94.6,333.2,9.09,8.24,58402,0
81.51,2111,49.43,106.5,425.2,5.91,11.23,629905,1
99.17,1241,49.35,89.3,318.5,7.72,13.26,711164,1
82.45,2176,39.6,97.4,399.6,5.81,8.74,515923,1
43.97,3075,40.49,90.8,327.8,8.04,9.33,547170,0
56.42,2259,49.17,100.1,434.3,6.96,9.94,284746,0
15.3,1342,46.55,85.1,414.3,5.62,12.36,755376,0
74.0,1526,49.93,113.0,352.0,9.89,11.71,239683,0
16.53,1873,29.37,68.9,352.5,4.19,13.05,764190,1
89.44,2524,56.89,93.0,324.1,8.91,13.04,253141,0
75.35,1595,45.63,96.2,402.8,8.02,10.86,245840,0
85.0,2285,43.1,100.2,371.7,10.37,12.75,358550,0
73.92,919,53.43,98.1,291.0,11.84,12.01,322583,0
72.77,2350,42.73,87.0,310.1,4.49,10.66,576888,1
93.71,1582,59.83,99.9,295.6,10.17,13.53,643411,0
89.35,1575,40.56,90.4,389.5,11.45,11.41,424837,0
18.55,2044,58.6,87.6,340.1,6.56,13.09,538290,0
51.08,1792,36.67,88.3,359.4,9.31,10.71,748213,0
54.35,2706,51.07,107.1,289.3,8.43,12.99,380151,0
19.81,1948,44.45,97.3,321.2,7.94,12.6,350815,0
23.84,1168,57.06,98.2,379.4,11.72,10.96,481660,0
98.59,1991,39.61,88.0,438.4,10.79,11.4,327223,0
34.44,1876,40.15,85.4,392.4,10.03,11.79,238595,0
90.74,2379,45.15,81.1,426.0,9.43,10.11,178929,0
24.78,997,50.34,96.3,388.5,8.99,13.74,111826,0
21.91,1378,43.85,80.6,419.5,6.76,8.31,591529,1
38.56,1756,41.31,87.8,412.5,8.11,15.33,435469,0
37.67,1867,61.97,84.2,448.3,7.69,10.71,389933,0
47.98,1525,55.22,93.2,338.8,7.65,9.62,173389,0
39.79,1563,39.59,87.9,369.3,9.24,12.27,498315,0
61.13,1793,55.74,80.1,371.6,10.84,11.71,113169,0
18.58,1536,46.46,74.6,341.9,10.23,8.77,65479,0
81.82,1638,46.19,123.1,421.4,8.49,14.79,500164,0
34.18,2655,41.83,92.2,319.8,10.06,10.84,162592,0
92.03,2041,48.1,80.0,316.1,7.24,10.21,416068,0
91.16,1939,46.23,99.7,358.6,7.98,14.44,71369,0
11.43,1482,49.34,85.1,345.4,9.11,13.25,249513,0
86.83,1256,51.31,74.7,352.7,8.09,7.93,616325,1
70.8,1484,51.52,93.0,358.3,7.21,11.9,221110,0
13.39,1562,51.78,81.5,340.2,8.49,10.65,379592,0
37.81,2051,48.37,91.8,326.8,7.65,11.97,782963,0
60.78,2479,47.96,56.1,362.9,6.72,9.69,612827,0
63.47,1241,39.51,120.5,384.7,7.45,11.44,347706,0
71.27,1835,49.63,100.5,318.1,9.12,15.69,71295,0
66.92,1728,35.73,92.1,357.1,9.16,9.52,72526,0
94.48,1159,55.6,107.3,358.9,8.81,9.62,452817,0
76.34,1483,45.08,87.3,416.6,6.61,10.16,494191,0
77.04,1837,54.01,93.0,451.3,10.34,13.44,374918,0
19.8,1108,49.68,94.2,333.6,9.39,11.12,373713,0
54.43,1930,48.05,90.0,305.8,6.98,14.66,171800,0
88.01,2359,35.88,103.7,359.8,9.15,12.56,637911,1
11.64,1604,56.69,94.1,381.6,8.7,13.19,179111,0
26.46,1536,38.01,96.0,354.3,6.7,11.13,177804,0
20.14,1624,51.17,102.7,363.5,8.95,13.96,233642,0
86.8,1223,58.37,92.3,356.9,8.89,10.95,761460,1
14.36,1957,47.81,93.1,347.9,8.4,9.73,173378,0
54.95,1476,54.45,90.5,268.1,11.89,13.87,215605,0
55.28,1704,31.38,84.4,314.2,9.11,13.66,703590,0
78.83,1821,50.03,66.4,396.3,4.52,11.33,575476,0
41.27,1487,39.17,68.5,353.1,7.33,10.02,434181,0
93.83,1234,49.12,81.7,326.5,8.58,16.45,616235,0
36.93,1852,46.27,87.3,293.2,6.01,14.94,730013,0
59.6,2168,39.75,94.3,328.3,12.3,10.17,364359,0
15.18,2310,47.28,100.2,317.4,9.0,7.59,216352,0
63.58,1130,39.55,98.0,347.5,6.67,11.9,349477,0
67.87,1127,60.02,78.2,371.4,10.9,11.18,411031,0
76.71,2115,40.1,74.4,402.7,9.42,13.52,374093,0
18.9,1906,47.4,83.1,385.5,7.71,9.49,405596,0
41.03,1757,44.81,99.7,405.7,9.9,11.97,589056,0
