supply_air_temp_c,return_air_temp_c,humidity_pct,airflow_cfm,power_draw_kw,refrigerant_pressure_psi,runtime_hours,anomaly
22.04,25.3,46.5,1974,17.87,217.8,9828,0
22.39,23.54,55.6,1704,34.39,236.5,10562,1
21.41,24.33,48.9,1782,16.42,182.8,2461,0
21.69,25.02,56.7,1829,12.53,193.3,13809,0
20.09,24.2,43.6,2117,15.17,202.9,15778,0
18.1,22.08,33.4,2131,18.48,170.8,45331,0
22.43,23.67,54.8,2478,10.91,236.1,31507,0
20.69,23.45,45.9,2334,33.82,222.4,26971,1
22.59,22.72,30.2,2143,13.22,223.6,15717,0
23.4,24.99,55.2,2101,12.04,170.2,6033,0
21.98,22.33,44.9,2194,13.62,207.7,30070,0
22.39,21.51,46.6,2010,15.64,201.6,38064,0
19.79,23.19,46.1,2226,19.71,182.3,15405,0
23.2,24.38,37.9,2271,13.25,190.7,39056,0
19.37,24.75,44.2,2257,12.19,218.0,47074,0
21.26,24.72,38.8,1442,10.7,221.8,23358,0
20.49,24.35,49.6,1804,20.07,238.1,3801,0
22.04,25.57,50.0,2359,11.26,194.2,12327,0
21.82,23.07,45.6,1912,12.63,175.2,12691,0
19.68,23.1,42.3,2489,9.23,201.5,20563,0
21.09,25.38,42.0,1783,10.32,187.6,42336,0
19.91,23.19,64.5,2312,17.46,210.5,14164,0
21.06,26.46,35.4,1728,15.04,232.8,25435,0
31.74,31.78,44.7,2065,8.78,223.0,39924,1
19.69,22.19,59.1,2141,12.32,234.9,42431,0
24.51,23.78,63.1,2115,18.85,217.1,22536,0
21.25,24.66,46.4,2202,16.03,248.1,18760,0
23.01,22.84,54.9,2260,9.1,205.3,19233,0
25.37,24.73,46.6,442,14.22,193.3,3900,1
19.52,22.27,26.9,2050,11.55,204.1,2707,0
21.29,23.11,49.1,1938,12.96,221.9,4855,0
21.55,27.6,46.6,1627,15.67,217.7,45400,0
20.6,22.71,40.0,2176,18.45,223.1,34802,0
23.67,25.82,32.7,2473,16.42,70.6,45403,1
21.72,23.7,38.2,1902,31.7,208.9,41575,1
23.92,23.66,38.2,2091,16.3,174.3,26118,0
21.17,25.58,41.4,2073,19.41,201.1,26875,0
22.53,24.27,48.3,2118,17.13,210.3,1470,0
21.34,23.01,37.6,2119,41.36,212.2,7052,1
21.36,25.11,46.4,2200,16.69,223.8,32138,0
22.34,23.92,45.4,2307,11.59,193.6,5491,0
22.87,24.24,45.1,2139,13.64,210.6,27666,0
20.72,23.31,39.1,1983,13.83,214.2,29769,0
20.74,23.62,28.0,1698,9.06,196.2,25967,0
21.02,25.89,48.8,2227,42.5,206.3,38244,1
21.78,22.41,53.4,2071,20.4,257.8,42351,0
19.88,22.63,35.9,1893,18.99,172.4,890,0
21.59,24.67,55.3,1651,38.25,191.2,26901,1
23.69,23.72,41.3,2189,11.02,160.3,27026,0
19.99,22.46,42.8,1811,12.43,181.2,11389,0
21.63,24.96,43.1,1680,16.74,196.6,22407,0
