UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,L1,L,299.1,311.4,1394,51.7,173,0,0,0,0,0,0
2,M2,M,300.1,310.3,1450,41.3,57,0,0,0,0,0,0
3,L3,L,301.6,312.4,1645,28.4,101,0,0,0,0,0,0
4,L4,L,298.1,307.5,1528,48.0,50,0,0,0,0,0,0
5,L5,L,299.9,309.5,1607,30.7,118,0,0,0,0,0,0
6,M6,M,299.8,310.5,1785,39.7,188,0,0,0,0,0,0
7,M7,M,299.3,308.4,1472,32.2,239,0,0,0,0,0,0
8,L8,L,297.6,307.0,1530,39.6,35,0,0,0,0,0,0
9,L9,L,303.4,314.1,1375,37.9,50,0,0,0,0,0,0
10,M10,M,300.4,309.9,1581,42.0,121,0,0,0,0,0,0
11,L11,L,297.6,307.0,1514,48.1,23,0,0,0,0,0,0
12,M12,M,299.4,309.9,1793,30.1,67,0,0,0,0,0,0
13,L13,L,298.8,310.1,1675,49.5,226,1,1,0,0,1,0
14,L14,L,300.6,309.7,1742,50.3,45,1,0,0,1,0,0
15,M15,M,301.9,313.9,1530,38.4,140,0,0,0,0,0,0
16,L16,L,300.6,311.6,1554,47.2,108,0,0,0,0,0,0
17,L17,L,297.7,306.1,1710,35.5,60,0,0,0,0,0,0
18,L18,L,300.5,310.3,1610,23.5,64,0,0,0,0,0,0
19,L19,L,297.4,308.4,1678,35.5,132,0,0,0,0,0,0
20,M20,M,300.0,308.6,1495,42.0,181,0,0,0,0,0,0
21,M21,M,300.7,312.5,1670,52.9,104,1,0,0,1,0,0
22,H22,H,300.0,310.6,1318,37.6,52,0,0,0,0,0,0
23,L23,L,298.7,308.8,1553,49.8,117,0,0,0,0,0,0
24,H24,H,301.0,311.3,1749,45.9,195,0,0,0,0,0,0
25,L25,L,301.2,311.3,1527,33.1,166,0,0,0,0,0,0
26,M26,M,298.4,307.3,1635,43.6,52,0,0,0,0,0,0
27,L27,L,298.5,309.5,1629,21.3,147,0,0,0,0,0,0
28,M28,M,301.6,310.7,1620,38.0,159,0,0,0,0,0,0
29,L29,L,305.1,313.2,1577,30.4,91,0,0,0,0,0,0
30,L30,L,300.7,309.6,1421,34.0,6,0,0,0,0,0,0
31,L31,L,302.7,313.1,1392,48.4,185,0,0,0,0,0,0
32,L32,L,305.1,315.0,1347,52.4,186,0,0,0,0,0,0
33,L33,L,302.1,312.4,1679,52.7,34,1,0,0,1,0,0
34,M34,M,302.5,312.5,1335,45.6,189,0,0,0,0,0,0
35,H35,H,300.6,310.7,1521,31.4,10,0,0,0,0,0,0
36,H36,H,299.5,309.5,1518,31.6,233,1,1,0,0,0,0
37,H37,H,295.8,303.7,1330,42.9,157,1,0,1,0,0,0
