flow_rate_lps,pressure_bar,ph_level,turbidity_ntu,chlorine_ppm,conductivity_us,water_temp_c,anomaly
47.92,4.45,9.39,19.25,0.18,456.3,22.4,1
51.16,3.93,7.17,1.64,1.21,460.7,21.1,0
49.11,3.69,7.19,0.28,2.18,442.3,11.8,0
41.0,4.3,7.21,0.55,0.72,473.9,17.0,0
2.46,7.21,6.64,0.38,1.8,483.9,17.4,1
44.12,4.81,7.53,0.26,1.47,479.1,24.3,0
44.63,5.2,7.5,0.41,1.59,424.0,20.8,0
42.17,4.85,7.38,2.23,1.68,409.1,17.1,0
44.53,4.92,7.28,0.63,1.34,469.2,17.1,0
49.29,4.28,8.54,23.1,0.36,313.6,24.2,1
40.69,4.29,7.31,1.1,1.34,429.0,21.3,0
45.08,4.87,6.9,0.72,1.36,454.8,12.8,0
52.83,4.06,7.48,5.7,1.56,482.1,25.1,0
5.78,8.59,7.76,1.09,1.04,458.1,23.8,1
17.76,2.64,7.18,2.96,1.55,472.0,13.7,1
49.08,5.16,6.89,1.94,1.19,452.3,15.3,0
45.38,5.26,7.29,1.44,1.31,491.3,15.1,0
44.5,4.19,7.31,2.59,1.22,494.8,18.6,0
53.12,4.75,8.52,17.05,0.31,383.2,19.9,1
38.32,4.17,6.79,0.16,1.6,465.3,12.2,0
44.32,4.67,7.45,2.85,1.13,493.1,17.8,0
42.61,5.0,6.96,2.95,1.43,428.7,11.7,0
37.03,4.99,7.11,0.35,1.4,428.3,14.8,0
40.66,3.97,7.6,1.27,1.81,455.5,23.0,0
44.84,4.55,7.05,1.91,1.58,382.4,11.5,0
37.36,4.4,7.2,3.23,1.31,447.8,13.9,0
44.38,3.89,7.13,0.97,0.74,467.3,12.3,0
43.69,4.56,7.23,0.38,1.75,499.4,16.9,0
49.98,3.73,6.87,1.09,1.39,396.6,22.8,0
46.59,3.99,7.17,1.05,0.96,545.4,14.5,0
44.81,8.47,7.59,0.1,1.37,391.1,18.3,1
44.66,4.61,6.89,4.11,1.36,391.7,21.5,0
42.79,4.41,7.59,2.03,1.32,488.5,21.7,0
11.6,1.21,6.98,0.37,1.86,498.4,24.6,1
45.26,4.6,6.73,2.6,1.36,464.1,10.9,0
40.13,4.27,7.43,0.15,1.93,482.2,17.7,0
37.83,4.36,7.12,1.33,1.05,404.0,22.5,0
43.2,4.46,7.33,2.05,1.58,497.9,17.3,0
47.27,4.31,7.13,1.3,1.77,518.8,14.9,0
40.97,5.31,7.37,6.81,1.3,541.1,21.8,0
31.53,4.01,6.98,1.95,1.31,449.2,25.3,0
47.51,4.37,7.24,0.55,1.5,379.6,16.3,0
44.98,4.94,7.52,2.88,1.45,448.7,22.4,0
43.04,4.69,6.92,1.4,1.55,428.1,20.1,0
44.22,12.68,6.91,0.93,1.16,444.2,22.9,1
47.25,4.43,6.93,2.73,1.43,522.1,14.6,0
50.94,4.0,7.34,0.52,1.41,451.4,17.0,0
43.33,4.82,7.02,3.23,1.67,417.0,11.8,0
44.42,4.29,7.67,0.62,1.49,462.1,16.6,0
54.18,3.29,7.19,1.38,1.26,402.3,16.6,0
48.64,12.14,6.85,1.64,1.72,338.4,9.3,1
39.34,4.34,7.5,0.1,1.04,450.3,13.3,0
37.91,4.32,7.22,1.65,1.13,445.6,22.9,0
55.81,5.07,6.87,0.78,1.42,488.2,16.7,0
36.22,4.64,7.71,0.57,1.09,571.0,26.2,0
48.56,4.7,7.62,3.5,1.42,449.0,15.8,0
41.54,4.18,7.29,3.33,2.37,514.2,15.8,0
46.29,4.47,7.55,0.48,1.28,392.1,22.2,0
50.23,4.86,7.58,2.0,1.73,420.1,15.4,0
35.39,4.05,7.17,1.35,1.85,582.2,17.4,0
44.27,4.9,7.42,0.16,1.27,586.2,23.3,0
51.82,4.64,7.01,0.1,1.75,476.5,20.2,0
49.79,4.99,7.09,1.17,1.21,463.7,13.6,0
55.32,5.18,7.44,0.57,1.75,469.6,21.9,0
40.7,3.77,7.6,0.52,1.92,356.5,22.0,0
43.01,4.12,7.31,1.43,1.88,488.2,7.0,0
44.09,5.03,7.3,0.31,1.39,431.4,21.9,0
46.36,4.24,7.41,0.56,0.93,476.5,20.1,0
42.15,4.42,6.79,1.5,1.41,435.2,12.8,0
5.59,8.83,7.27,0.14,1.19,439.4,15.9,1
